name,price,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugars,protein
Minute Maid Light Lemonade (Small),1,0,0,0,0,0,0,10,1,0,0,0
Minute Maid Orange Juice,2.39,150,0,0,0,0,0,0,36,0,32,2
MIX by Sprite Tropic Berry,1,40,0,0,0,0,0,20,10,0,10,0
Mocha (Small),2.89,340,110,12,7,0,35,140,49,2,45,9
Mocha Frappe,3.29,420,150,17,11,0.5,60,120,60,1,54,7
Oatmeal,2.19,310,35,4,1.5,0,5,140,62,5,33,6
Oatmeal without Brown Sugar,2.19,260,40,4,1.5,0,5,115,49,5,18,6
Oreo McFlurry,2.49,510,150,17,9,0.5,45,280,80,1,64,12
Plain Sundae,1.49,210,50,6,4,0,25,85,32,0,28,6
Premium Hot Chocolate (Small),2.59,370,120,14,8,0,40,170,51,1,48,11
Quarter Pounder with Cheese,4.59,540,250,27,13,1.5,100,1110,42,2,10,31
Sausage Biscuit,1.49,460,270,30,13,0,40,1050,36,2,3,11
Sausage Biscuit with Egg,3.39,530,310,34,15,0,205,1140,38,2,3,17
Sausage Burrito,1.49,300,140,16,6,0,165,780,26,1,2,13
Sausage Egg & Cheese McGriddles,3.79,550,290,32,13,0,220,1290,45,2,15,20
Sausage McGriddles,3.19,430,220,24,9,0,35,990,42,1,15,11
Sausage McMuffin,1.49,400,230,25,10,0.5,55,760,29,2,3,14
Sausage McMuffin with Egg,3.49,480,270,30,12,0.5,275,830,30,2,3,21
Side Salad,2.19,15,0,0,0,0,0,15,3,1,1,1
Signature Crafted Bacon Smokehouse Artisan - Crispy,5.49,920,410,45,12,0.5,120,1980,81,4,18,46
Signature Crafted Bacon Smokehouse Artisan - Grilled,5.49,750,280,31,10,0.5,155,1940,62,2,18,55
Signature Crafted Bacon Smokehouse Artisan - Quarter,5.49,840,410,45,17,1.5,130,1580,62,2,18,46
Signature Crafted Double Bacon Smokehouse Quarter,6.79,1130,600,67,27,3,220,1920,64,3,18,70
Signature Crafted Double Mushroom Swiss - Quarter,6.79,940,510,56,22,2.5,170,1160,53,3,11,56
Signature Crafted Mushroom Swiss - Crispy,5.49,700,290,32,12,0.5,105,1120,66,5,11,37
Signature Crafted Mushroom Swiss - Grilled,5.49,540,170,19,10,0.5,140,1240,47,3,12,46
Signature Crafted Mushroom Swiss - Quarter,5.49,640,310,34,18,1.5,120,700,47,3,11,37
Southwest Salad,3.99,160,60,7,3,0,15,200,19,5,4,8
Southwest Salad with Crispy Chicken,5.19,520,230,25,6,0,75,960,46,8,9,28
Sprite,1,120,0,0,0,0,0,70,36,0,36,0
Strawberry Banana Smoothie,3.29,190,5,0.5,0,0,5,40,44,2,39,2
Strawberry Go-Gurt,0.69,45,0,0.5,0,0,5,30,7,0,5,2
Strawberry Shake (Small),2.79,500,130,15,9,0.5,60,190,80,0,71,12
Strawberry Sundae,1.49,320,90,10,4.5,0,25,95,50,1,45,8
Sweet Iced Tea (Small),1,90,0,0,0,0,0,15,21,0,21,0
Triple Cheeseburger,3.29,520,250,28,14,1.5,110,1180,35,2,7,32
Unsweetened Iced Tea,1,0,0,0,0,0,0,10,0,0,0,0
Vanilla Cappuccino,2.89,190,45,5,3,0,15,70,30,0,29,6
Vanilla Cone,1.29,300,70,8,5,0,35,125,48,0,39,8
Vanilla Shake,2.79,490,130,14,9,0.5,60,230,79,0,59,11
